number,value,datetime_start,datetime_complete,duration,params_class_weight,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_best_iteration,state
22,0.8817771084337348,2025-09-19 01:52:09.264045,2025-09-19 01:52:31.742408,0 days 00:00:22.478363,balanced,0.6446615766499301,0.027581929752660855,16,70,0.29872108298828315,1651,35,1.423699882126023e-07,0.40566098329901723,0.7647795151078189,348.2,COMPLETE
23,0.8787458344014356,2025-09-19 01:52:31.788553,2025-09-19 01:52:57.348281,0 days 00:00:25.559728,balanced,0.7140709537228512,0.028428880023776273,16,95,0.6901671518299601,2063,37,2.1362368262388023e-07,1.640211734506562,0.8494386113561165,365.2,COMPLETE
24,0.7939951294539862,2025-09-19 01:52:57.393448,2025-09-19 01:52:57.647019,0 days 00:00:00.253571,balanced,0.8243656766644306,0.01199089998913926,16,60,1.168993046764546,1500,79,3.2000406822204923e-06,0.0323185059344617,0.8925242827010035,,PRUNED
25,0.8807453217123815,2025-09-19 01:52:57.677943,2025-09-19 01:53:08.264648,0 days 00:00:10.586705,balanced,0.7652567251186926,0.06030169769364025,14,34,0.04849891328802297,2368,18,1.6519149026218696e-08,0.13026858454258294,0.7594540165100023,187.2,COMPLETE
26,0.8751153550371701,2025-09-19 01:53:08.389934,2025-09-19 01:53:13.392229,0 days 00:00:05.002295,,0.629167815644128,0.1017506647629437,8,47,0.4061629418357029,1693,44,7.20335438736575e-08,2.112158973206133,0.8148774857695279,95.6,COMPLETE
27,0.803415790822866,2025-09-19 01:53:13.435440,2025-09-19 01:53:13.676106,0 days 00:00:00.240666,balanced,0.8336224647384539,0.020934460187971415,12,89,0.9088743190543923,1939,70,5.474917079118609e-07,0.0005384920828356408,0.8676382836995902,,PRUNED
28,0.7951887336580364,2025-09-19 01:53:13.706909,2025-09-19 01:53:13.903541,0 days 00:00:00.196632,balanced,0.7145989738989952,0.0349350281690677,16,120,1.4100220188578916,1333,123,3.2163128232828385e-05,0.08109132014973547,0.7817513643994971,,PRUNED
29,0.7789669315560113,2025-09-19 01:53:13.935396,2025-09-19 01:53:14.113190,0 days 00:00:00.177794,balanced,0.8935089174556968,0.005362818946539161,16,117,2.133307759325495,2461,34,0.00034918388231912155,0.01358124916719302,0.624231425455519,,PRUNED
30,0.7774208536272751,2025-09-19 01:53:14.144244,2025-09-19 01:53:14.350419,0 days 00:00:00.206175,balanced,0.7722473669683526,0.0028026539524496335,16,21,0.48713340324010446,1764,16,7.2164095052725575e-06,0.001189911033647711,0.7412319396975531,,PRUNED
31,0.8816233017175084,2025-09-19 01:53:14.381379,2025-09-19 01:53:36.873888,0 days 00:00:22.492509,balanced,0.6512317257026425,0.027487717788108844,16,71,0.3321333177793444,1642,37,2.1780564353823723e-07,0.39967645391808654,0.6691601512451768,341.0,COMPLETE
