number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
36,0.8801012560881825,2025-09-12 16:36:27.043187,2025-09-12 16:36:47.095360,0 days 00:00:20.052173,False,balanced,entropy,32.0,0.5,4,4,803,COMPLETE
37,0.8796462445526787,2025-09-12 16:36:27.548493,2025-09-12 16:36:41.404301,0 days 00:00:13.855808,False,balanced,entropy,32.0,0.5,4,4,386,COMPLETE
38,0.839207895411433,2025-09-12 16:36:35.614664,2025-09-12 16:36:39.447909,0 days 00:00:03.833245,False,balanced,entropy,32.0,1.0,3,49,355,PRUNED
39,0.8800724173288901,2025-09-12 16:36:38.616992,2025-09-12 16:37:01.576859,0 days 00:00:22.959867,False,balanced,entropy,32.0,0.5,4,5,792,COMPLETE
40,0.8784318123558063,2025-09-12 16:36:39.831653,2025-09-12 16:36:55.159775,0 days 00:00:15.328122,False,balanced,gini,24.0,0.5,4,4,392,COMPLETE
41,0.8442386567546782,2025-09-12 16:36:41.529216,2025-09-12 16:36:47.134524,0 days 00:00:05.605308,True,,gini,24.0,0.5,5,13,774,PRUNED
42,0.8437419892335299,2025-09-12 16:36:41.636068,2025-09-12 16:36:47.253495,0 days 00:00:05.617427,True,,gini,24.0,0.5,5,12,777,PRUNED
43,0.8833984875672904,2025-09-12 16:36:47.917405,2025-09-12 16:37:09.847330,0 days 00:00:21.929925,False,balanced,entropy,16.0,0.5,2,5,577,COMPLETE
44,0.8843661881568827,2025-09-12 16:36:48.027281,2025-09-12 16:37:22.151894,0 days 00:00:34.124613,False,balanced,entropy,16.0,0.5,2,5,1176,COMPLETE
45,0.8841611125352473,2025-09-12 16:36:48.174292,2025-09-12 16:37:15.242994,0 days 00:00:27.068702,False,balanced,entropy,16.0,0.5,2,5,858,COMPLETE
46,0.8815560112791591,2025-09-12 16:36:56.049383,2025-09-12 16:37:22.033537,0 days 00:00:25.984154,False,balanced,entropy,16.0,0.5,2,7,858,COMPLETE
47,0.8813957959497565,2025-09-12 16:37:02.424404,2025-09-12 16:37:37.492463,0 days 00:00:35.068059,False,balanced,entropy,16.0,0.5,2,7,1236,COMPLETE
48,0.8479876954627018,2025-09-12 16:37:10.802126,2025-09-12 16:37:15.315983,0 days 00:00:04.513857,False,balanced,entropy,16.0,0.5,2,20,550,PRUNED
49,0.8061394514227121,2025-09-12 16:37:15.373032,2025-09-12 16:37:22.273360,0 days 00:00:06.900328,True,,entropy,16.0,log2,14,8,927,PRUNED
50,0.8060112791591899,2025-09-12 16:37:15.616336,2025-09-12 16:37:22.235369,0 days 00:00:06.619033,True,,entropy,16.0,log2,14,8,891,PRUNED
51,0.808783004357857,2025-09-12 16:37:22.166397,2025-09-12 16:37:30.933750,0 days 00:00:08.767353,True,,gini,16.0,log2,12,18,1145,PRUNED
52,0.8341130479364266,2025-09-12 16:37:22.258666,2025-09-12 16:37:31.041499,0 days 00:00:08.782833,True,,gini,16.0,1.0,2,37,1184,PRUNED
53,0.8504389900025633,2025-09-12 16:37:22.629315,2025-09-12 16:37:32.239519,0 days 00:00:09.610204,False,balanced,gini,16.0,1.0,2,12,1202,PRUNED
54,0.8467219943604205,2025-09-12 16:37:22.953474,2025-09-12 16:37:32.223664,0 days 00:00:09.270190,False,balanced,gini,16.0,1.0,2,18,1199,PRUNED
55,0.905777364778262,2025-09-12 16:37:31.618537,2025-09-12 16:37:52.021135,0 days 00:00:20.402598,False,balanced,entropy,16.0,0.5,2,12,1053,PRUNED
56,0.8810593437580106,2025-09-12 16:37:31.836876,2025-09-12 16:38:04.610956,0 days 00:00:32.774080,False,balanced,entropy,16.0,0.5,2,7,1024,COMPLETE
57,0.8816072801845681,2025-09-12 16:37:32.383589,2025-09-12 16:38:06.369735,0 days 00:00:33.986146,False,balanced,entropy,16.0,0.5,2,8,1041,COMPLETE
58,0.8811426557293001,2025-09-12 16:37:32.609621,2025-09-12 16:38:05.814017,0 days 00:00:33.204396,False,balanced,entropy,16.0,0.5,2,7,1058,COMPLETE
59,0.9053287618559344,2025-09-12 16:37:37.672950,2025-09-12 16:37:57.943762,0 days 00:00:20.270812,False,balanced,entropy,16.0,0.5,3,11,1023,PRUNED
60,0.8821744424506537,2025-09-12 16:37:54.072049,2025-09-12 16:38:34.838096,0 days 00:00:40.766047,False,balanced,entropy,16.0,0.8,3,2,1298,COMPLETE
61,0.8464496283004357,2025-09-12 16:37:58.163543,2025-09-12 16:38:06.589038,0 days 00:00:08.425495,False,balanced,entropy,12.0,0.8,6,15,1361,PRUNED
62,0.8482600615226866,2025-09-12 16:38:05.258709,2025-09-12 16:38:09.903392,0 days 00:00:04.644683,False,balanced,entropy,12.0,0.8,6,2,723,PRUNED
63,0.8466258651627788,2025-09-12 16:38:06.245607,2025-09-12 16:38:13.050068,0 days 00:00:06.804461,False,balanced,entropy,12.0,0.8,6,15,711,PRUNED
64,0.8806652140476802,2025-09-12 16:38:07.005332,2025-09-12 16:38:29.405909,0 days 00:00:22.400577,False,balanced,entropy,16.0,0.5,3,2,689,COMPLETE
65,0.90742758267111,2025-09-12 16:38:07.083837,2025-09-12 16:38:20.959649,0 days 00:00:13.875812,False,balanced,entropy,16.0,0.5,3,2,693,PRUNED
66,0.8817995385798513,2025-09-12 16:38:10.392335,2025-09-12 16:38:37.130119,0 days 00:00:26.737784,False,balanced,entropy,,0.5,1,9,848,COMPLETE
67,0.8818315816457319,2025-09-12 16:38:14.109186,2025-09-12 16:38:59.316465,0 days 00:00:45.207279,False,balanced,entropy,,0.5,1,9,1643,COMPLETE
68,0.8817386567546782,2025-09-12 16:38:21.533129,2025-09-12 16:38:49.741384,0 days 00:00:28.208255,False,balanced,entropy,,0.5,1,9,874,COMPLETE
69,0.8821520123045372,2025-09-12 16:38:30.218795,2025-09-12 16:39:08.157501,0 days 00:00:37.938706,False,balanced,entropy,,0.5,1,9,1282,COMPLETE
70,0.8826647013586261,2025-09-12 16:38:35.892188,2025-09-12 16:39:18.120393,0 days 00:00:42.228205,False,balanced,entropy,,0.8,1,9,1332,COMPLETE
71,0.8826358625993335,2025-09-12 16:38:38.236833,2025-09-12 16:39:24.203708,0 days 00:00:45.966875,False,balanced,entropy,,0.8,1,9,1339,COMPLETE
72,0.884555242245578,2025-09-12 16:38:51.327993,2025-09-12 16:39:38.699241,0 days 00:00:47.371248,False,balanced,entropy,16.0,0.8,1,5,1587,COMPLETE
73,0.8858145347346834,2025-09-12 16:38:59.675905,2025-09-12 16:39:53.781187,0 days 00:00:54.105282,False,balanced,entropy,,0.8,1,4,1650,COMPLETE
74,0.8845424250192258,2025-09-12 16:39:08.693872,2025-09-12 16:39:51.153358,0 days 00:00:42.459486,False,balanced,entropy,,0.8,1,5,1293,COMPLETE
75,0.8845872853114587,2025-09-12 16:39:18.345667,2025-09-12 16:40:00.743274,0 days 00:00:42.397607,False,balanced,entropy,,0.8,1,5,1324,COMPLETE
76,0.8848179953857984,2025-09-12 16:39:24.709949,2025-09-12 16:40:10.988391,0 days 00:00:46.278442,False,balanced,entropy,,0.8,1,5,1527,COMPLETE
77,0.8848596513714433,2025-09-12 16:39:40.020223,2025-09-12 16:40:29.163635,0 days 00:00:49.143412,False,balanced,entropy,,0.8,1,5,1530,COMPLETE
78,0.8849333504229685,2025-09-12 16:39:51.630885,2025-09-12 16:40:45.566202,0 days 00:00:53.935317,False,balanced,entropy,,0.8,1,5,1583,COMPLETE
79,0.8346898231222764,2025-09-12 16:39:55.556492,2025-09-12 16:40:07.915044,0 days 00:00:12.358552,False,balanced,entropy,,0.8,20,5,1851,PRUNED
80,0.8842284029735966,2025-09-12 16:40:01.247489,2025-09-12 16:40:48.179530,0 days 00:00:46.932041,False,balanced,entropy,,0.8,1,6,1455,COMPLETE
81,0.8867037298128684,2025-09-12 16:40:08.344815,2025-09-12 16:40:56.160496,0 days 00:00:47.815681,False,balanced,entropy,,0.8,1,3,1481,COMPLETE
82,0.8867614073314535,2025-09-12 16:40:12.454684,2025-09-12 16:41:03.022786,0 days 00:00:50.568102,False,balanced,entropy,,0.8,1,3,1553,COMPLETE
