number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
37,0.8593943340931293,2025-09-11 13:29:26.066205,2025-09-11 13:29:32.723843,0 days 00:00:06.657638,False,,entropy,,sqrt,3,2,1197,PRUNED
38,0.8603386519049169,2025-09-11 13:29:27.132213,2025-09-11 13:29:32.015408,0 days 00:00:04.883195,False,,entropy,,sqrt,3,2,683,PRUNED
39,0.860371214588082,2025-09-11 13:29:31.955295,2025-09-11 13:29:36.395884,0 days 00:00:04.440589,False,,entropy,32.0,sqrt,3,5,778,PRUNED
40,0.8789024876322259,2025-09-11 13:29:32.246788,2025-09-11 13:29:55.911339,0 days 00:00:23.664551,False,,gini,,0.8,2,6,763,COMPLETE
41,0.8547378704005211,2025-09-11 13:29:33.559523,2025-09-11 13:29:38.684757,0 days 00:00:05.125234,False,,gini,,0.8,11,7,742,PRUNED
42,0.8548844024747639,2025-09-11 13:29:33.834442,2025-09-11 13:29:38.726893,0 days 00:00:04.892451,False,,gini,,0.8,11,7,783,PRUNED
43,0.8568544448062521,2025-09-11 13:29:36.655585,2025-09-11 13:29:39.549453,0 days 00:00:02.893868,False,,gini,,0.8,10,6,727,PRUNED
44,0.8809257273683929,2025-09-11 13:29:38.947754,2025-09-11 13:29:56.102195,0 days 00:00:17.154441,False,,entropy,,1.0,2,6,405,COMPLETE
45,0.8824687327949885,2025-09-11 13:29:38.985612,2025-09-11 13:30:07.884592,0 days 00:00:28.898980,False,,entropy,,1.0,2,2,947,COMPLETE
46,0.8748590425517566,2025-09-11 13:29:39.386269,2025-09-11 13:30:07.870388,0 days 00:00:28.484119,True,,entropy,24.0,1.0,2,4,953,COMPLETE
47,0.8743600199347131,2025-09-11 13:29:40.548842,2025-09-11 13:29:56.442548,0 days 00:00:15.893706,True,,entropy,24.0,1.0,2,4,429,COMPLETE
48,0.8657603386519049,2025-09-11 13:29:56.166341,2025-09-11 13:30:01.758352,0 days 00:00:05.592011,True,,entropy,24.0,1.0,4,4,427,PRUNED
49,0.8478345815695214,2025-09-11 13:29:56.446043,2025-09-11 13:30:02.143420,0 days 00:00:05.697377,True,,entropy,8.0,1.0,4,15,573,PRUNED
50,0.8475415174210356,2025-09-11 13:29:57.634608,2025-09-11 13:30:05.018276,0 days 00:00:07.383668,True,,entropy,8.0,1.0,4,15,941,PRUNED
51,0.9072377611019069,2025-09-11 13:30:01.941251,2025-09-11 13:30:24.222307,0 days 00:00:22.281056,False,,entropy,,1.0,5,14,949,PRUNED
52,0.8572940410289808,2025-09-11 13:30:03.016528,2025-09-11 13:30:08.385744,0 days 00:00:05.369216,False,,entropy,,1.0,5,42,958,PRUNED
53,0.8502279387821555,2025-09-11 13:30:05.606128,2025-09-11 13:30:07.625424,0 days 00:00:02.019296,False,,entropy,,1.0,13,43,362,PRUNED
54,0.8763256110913812,2025-09-11 13:30:07.988781,2025-09-11 13:30:32.253474,0 days 00:00:24.264693,False,,entropy,,1.0,5,8,842,COMPLETE
55,0.8812382148828842,2025-09-11 13:30:08.173138,2025-09-11 13:30:34.791684,0 days 00:00:26.618546,False,,entropy,,1.0,2,7,860,COMPLETE
56,0.8815406352889253,2025-09-11 13:30:08.266882,2025-09-11 13:30:35.636948,0 days 00:00:27.370066,False,,entropy,,1.0,2,8,881,COMPLETE
57,0.8337837837837838,2025-09-11 13:30:09.025078,2025-09-11 13:30:16.217132,0 days 00:00:07.192054,False,,entropy,,log2,5,8,1045,PRUNED
58,0.8814339355118396,2025-09-11 13:30:16.921575,2025-09-11 13:30:41.249352,0 days 00:00:24.327777,False,,entropy,,1.0,2,6,871,COMPLETE
59,0.8615434711820255,2025-09-11 13:30:24.980757,2025-09-11 13:30:30.681271,0 days 00:00:05.700514,False,,entropy,,1.0,2,35,855,PRUNED
60,0.8813088810251714,2025-09-11 13:30:31.033807,2025-09-11 13:30:50.487368,0 days 00:00:19.453561,False,,entropy,32.0,1.0,2,6,584,COMPLETE
61,0.8754215429900883,2025-09-11 13:30:33.196269,2025-09-11 13:31:17.912114,0 days 00:00:44.715845,False,,entropy,12.0,1.0,2,6,1772,COMPLETE
62,0.8333604689026375,2025-09-11 13:30:35.246750,2025-09-11 13:30:41.235810,0 days 00:00:05.989060,False,,gini,12.0,log2,1,13,1034,PRUNED
