region,left_id,right_id,midline_id,lobe,ca_network,left_full_name,right_full_name,midline_full_name,acronym,lobe_color,region_color
SMGSupramarginalGyrus,195.0,194.0,,Parietal Lobe,Language,LeftSMGSupramarginalGyrus_195,RightSMGSupramarginalGyrus_194,,SMG,#9467bd,#617c6d
SOGSuperiorOccipitalGyrus,197.0,196.0,,Occipital Lobe,Visual2,LeftSOGSuperiorOccipitalGyrus_197,RightSOGSuperiorOccipitalGyrus_196,,SOG,#ff7f0e,#ba99af
SPLSuperiorParietalLobule,199.0,198.0,,Parietal Lobe,Dorsal-attention,LeftSPLSuperiorParietalLobule_199,RightSPLSuperiorParietalLobule_198,,SPL,#9467bd,#8080ff
STGSuperiorTemporalGyrus,201.0,200.0,,Temporal Lobe,Auditory,LeftSTGSuperiorTemporalGyrus_201,RightSTGSuperiorTemporalGyrus_200,,STG,#2ca02c,#1146c3
STN,208.0,209.0,,Subcortical Structures,,LeftSTN_208,RightSTN_209,,STN,#e377c2,#080e3f
SubstantiaNigra,210.0,211.0,,Subcortical Structures,,LeftSubstantiaNigra_210,RightSubstantiaNigra_211,,SN,#e377c2,#41c6fe
TMPTemporalPole,203.0,202.0,,Temporal Lobe,Ventral-Multimodal,LeftTMPTemporalPole_203,RightTMPTemporalPole_202,,TMP,#2ca02c,#af11cb
TTGTransverseTemporalGyrus,207.0,206.0,,Temporal Lobe,Auditory,LeftTTGTransverseTemporalGyrus_207,RightTTGTransverseTemporalGyrus_206,,TTG,#2ca02c,#b6ad09
Th_anterior,216.0,217.0,,Subcortical Structures,,LeftTh_anterior_216,RightTh_anterior_217,,Th_a,#e377c2,#3f1e06
Th_geniculate,218.0,219.0,,Subcortical Structures,,LeftTh_geniculate_218,RightTh_geniculate_219,,Th_g,#e377c2,#80ffff
Th_intralaminar,222.0,223.0,,Subcortical Structures,,LeftTh_intralaminar_222,RightTh_intralaminar_223,,Th_i,#e377c2,#fe3046
Th_mediodorsal,220.0,221.0,,Subcortical Structures,,LeftTh_mediodorsal_220,RightTh_mediodorsal_221,,Th_md,#e377c2,#8b514e
Th_posteriorAnterior,232.0,233.0,,Subcortical Structures,,LeftTh_posteriorAnterior_232,RightTh_posteriorAnterior_233,,Th_pa,#e377c2,#b962cc
Th_pulvinar,224.0,225.0,,Subcortical Structures,,LeftTh_pulvinar_224,RightTh_pulvinar_225,,Th_p,#e377c2,#822587
Th_ventroanterior,226.0,227.0,,Subcortical Structures,,LeftTh_ventroanterior_226,RightTh_ventroanterior_227,,Th_va,#e377c2,#4c732e
Th_ventrolateral,228.0,229.0,,Subcortical Structures,,LeftTh_ventrolateral_228,RightTh_ventrolateral_229,,Th_vl,#e377c2,#4ad70b
Th_ventroposterior,230.0,231.0,,Subcortical Structures,,LeftTh_ventroposterior_230,RightTh_ventroposterior_231,,Th_vp,#e377c2,#cfdf08
TrIFGTriangularPartOfTheInferiorFrontalGyrus,205.0,204.0,,Frontal Lobe,Language,LeftTrIFGTriangularPartOfTheInferiorFrontalGyrus_205,RightTrIFGTriangularPartOfTheInferiorFrontalGyrus_204,,TrIFG,#bcbd22,#90c4fe
