number,value,datetime_start,datetime_complete,duration,params_class_weight,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_best_iteration,state
0,0.8744216445993871,2025-09-09 15:45:42.686876,2025-09-09 15:45:48.892069,0 days 00:00:06.205193,balanced,0.7256570662196111,0.15388079937474838,10,43,0.6612286857617133,955,118,5.92328822793395e-07,0.0026007882478058576,0.9288522077992247,45.6,COMPLETE
1,0.8665563051807429,2025-09-09 15:45:42.688142,2025-09-09 15:45:54.099886,0 days 00:00:11.411744,balanced,0.8435594285167507,0.010029403852546208,6,176,4.741105282922604,2758,44,0.020051509124647995,3.1132429104136744e-05,0.6862751297981875,,PRUNED
2,0.8516679160419789,2025-09-09 15:45:42.720190,2025-09-09 15:45:53.568087,0 days 00:00:10.847897,balanced,0.7813348746579685,0.0051646556487420815,4,163,1.040312101639832,580,118,9.301584869408474,4.903616962226928e-08,0.7261909299180341,,PRUNED
3,0.8625745059197308,2025-09-09 15:45:42.734313,2025-09-09 15:45:50.513262,0 days 00:00:07.778949,balanced,0.756797432551357,0.03365557457938245,-1,37,3.686164274345705,2984,250,3.7989718233694273e-08,0.037345492589777936,0.704466884253308,119.2,COMPLETE
4,0.855208618080518,2025-09-09 15:45:42.743232,2025-09-09 15:45:44.612581,0 days 00:00:01.869349,balanced,0.6798756474708678,0.14164749706864854,10,137,4.184422773875195,1018,99,0.2583828619184328,3.198605584459654e-06,0.8215566856681632,38.6,COMPLETE
5,0.8552010766705,2025-09-09 15:45:44.643721,2025-09-09 15:45:48.131645,0 days 00:00:03.487924,,0.8239059946339308,0.09655334955322188,8,149,4.64571778948525,1480,77,0.0027863386135217666,0.023515344482206664,0.6788417454826241,57.0,COMPLETE
6,0.855707562885224,2025-09-09 15:45:48.169865,2025-09-09 15:45:54.281298,0 days 00:00:06.111433,balanced,0.6924107464346386,0.007633622393410808,14,109,4.698541088771174,1228,175,0.00045819350356818175,0.03838371496085823,0.7739811861527892,,PRUNED
7,0.8530942861902382,2025-09-09 15:45:48.934542,2025-09-09 15:47:18.087904,0 days 00:01:29.153362,,0.7946104821496857,0.0032122997444087352,-1,50,0.8775867572250995,2395,75,0.4627636829104976,0.46246965542916996,0.7192168451370144,,PRUNED
8,0.8582328639896918,2025-09-09 15:45:50.540501,2025-09-09 15:45:53.389855,0 days 00:00:02.849354,balanced,0.9826703854188977,0.06237946010671586,12,159,2.1930225072174006,2077,137,4.515756754571617,4.092782646914781e-05,0.907433773602652,101.0,COMPLETE
9,0.8814356526555999,2025-09-09 15:45:53.418295,2025-09-09 15:46:49.878733,0 days 00:00:56.460438,balanced,0.8443082334538153,0.007675821644356957,-1,81,0.1194349389569771,1785,41,0.5413319644932555,0.06478599881489103,0.751600433805379,1162.0,COMPLETE
10,0.8161975488159535,2025-09-09 15:45:53.591948,2025-09-09 15:45:55.072384,0 days 00:00:01.480436,balanced,0.6866427974220723,0.0010078529028098651,10,85,3.912186166634757,1886,65,2.0035061327921882e-07,0.07418508237948399,0.6436791213419041,,PRUNED
11,0.8402160365600332,2025-09-09 15:45:54.131921,2025-09-09 15:45:54.603014,0 days 00:00:00.471093,balanced,0.7113035623056692,0.13002727083172094,8,138,4.036115218743907,1302,184,0.7139229062209479,0.8480721692741403,0.9018465025965106,,PRUNED
12,0.8549995835415625,2025-09-09 15:45:54.314595,2025-09-09 15:45:57.087852,0 days 00:00:02.773257,balanced,0.9725651809211735,0.04550606576750332,16,6,3.0196280814202128,902,184,1.0857289149679315e-06,3.222756256990097e-05,0.859430985916708,,PRUNED
13,0.8744757691435406,2025-09-09 15:45:54.624543,2025-09-09 15:46:21.292018,0 days 00:00:26.667475,balanced,0.7015225261654019,0.008474535203461926,14,99,1.568184361449202,2767,15,1.0799364510902044e-05,0.007420128648289943,0.660214540621356,907.4,COMPLETE
14,0.8779063982065193,2025-09-09 15:45:55.096675,2025-09-09 15:46:18.075975,0 days 00:00:22.979300,,0.6261208251345146,0.031111855869541842,16,14,0.48944725326031124,607,252,1.8013525405327924e-06,0.00118940577519088,0.9989956134358227,117.4,COMPLETE
15,0.883432871917455,2025-09-09 15:45:57.114101,2025-09-09 15:46:24.623873,0 days 00:00:27.509772,,0.6052990176979756,0.024614460691968855,-1,31,0.35795936978673204,2863,245,1.0701455975101122e-08,0.0015272216299506648,0.9907219017339574,210.8,COMPLETE
16,0.8840295063311718,2025-09-09 15:46:18.105686,2025-09-09 15:46:44.245502,0 days 00:00:26.139816,,0.6026225717842664,0.0215990945392145,16,53,0.055133153477081476,517,247,8.864530798669638e-06,0.0006207888515445481,0.9986773662978782,306.2,COMPLETE
17,0.8781705231721488,2025-09-09 15:46:21.320948,2025-09-09 15:46:40.612528,0 days 00:00:19.291580,,0.6006537501961803,0.0228766668512619,14,200,0.05953132533419897,2385,18,1.6397279768418087e-05,0.0009798008820043579,0.9993925292200639,781.4,COMPLETE
18,0.8802502012046185,2025-09-09 15:46:24.652099,2025-09-09 15:47:52.686626,0 days 00:01:28.034527,,0.6024087577806688,0.018885318247537933,16,9,0.05346253457614619,2218,255,1.0096885483526448e-08,8.355317702250762,0.9771051142473968,419.6,COMPLETE
19,0.8762806096951525,2025-09-09 15:46:40.643416,2025-09-09 15:46:58.628306,0 days 00:00:17.984890,,0.6011070146947249,0.018567525969391235,-1,196,0.1013151603276681,2280,211,4.5091861464645826e-05,5.788587968805048,0.9818140537142692,,PRUNED
20,0.8945006663334999,2025-09-09 15:46:44.277619,2025-09-09 15:48:04.166468,0 days 00:01:19.888849,,0.6411712619486061,0.0032677923993088857,-1,68,1.486899456209151,2257,222,1.364367749687428e-08,2.911894150335682e-07,0.9700515530135742,,PRUNED
21,0.8655463934699318,2025-09-09 15:46:49.905538,2025-09-09 15:46:57.278974,0 days 00:00:07.373436,,0.6416429976075387,0.015640389984753356,16,54,1.5686781412982842,2223,227,7.452295691826112e-05,1.1883219555115328e-07,0.9531061793775408,,PRUNED
22,0.8419505608641462,2025-09-09 15:46:57.315948,2025-09-09 15:47:03.937413,0 days 00:00:06.621465,,0.8998732959363842,0.003264839377804066,4,63,1.3106375554928484,1613,209,2.3039777417380076e-08,8.664643628800558,0.8433646562657279,,PRUNED
23,0.8436019941836311,2025-09-09 15:46:58.658456,2025-09-09 15:47:03.382127,0 days 00:00:04.723671,,0.9063411200767695,0.0028207869455584345,12,61,1.2394110753200187,433,211,1.234937515774715e-08,1.9012761194707932e-06,0.8487074381825941,,PRUNED
24,0.8484316576651434,2025-09-09 15:47:03.409310,2025-09-09 15:47:09.826974,0 days 00:00:06.417664,,0.6524369458053061,0.004329548236109735,4,22,2.3765174150969446,1528,156,4.5533181361140375e-08,0.00014554701960288124,0.9547476455344356,,PRUNED
25,0.8806363785978497,2025-09-09 15:47:03.964580,2025-09-09 15:47:49.506508,0 days 00:00:45.541928,,0.8842083552913211,0.01184008721927211,-1,27,0.5526346871677881,1833,162,0.013355815819503285,0.00020060416485220584,0.764654121816221,372.0,COMPLETE
26,0.8797333712661741,2025-09-09 15:47:09.857270,2025-09-09 15:47:42.141321,0 days 00:00:32.284051,,0.8700304122951503,0.011995794249063956,-1,75,0.767746736549217,1793,231,0.015467885940610706,0.18984039128057667,0.6039447897199766,624.8,COMPLETE
27,0.8823604713707404,2025-09-09 15:47:18.112196,2025-09-09 15:47:52.866656,0 days 00:00:34.754460,,0.8842676531709275,0.011857349093431105,-1,86,0.35879704957266023,1988,236,0.006646358339175177,0.0003819447675789753,0.7534454028606714,701.4,COMPLETE
28,0.877675745460603,2025-09-09 15:47:42.174822,2025-09-09 15:47:51.194887,0 days 00:00:09.020065,,0.9390864980968842,0.06733486163030196,-1,29,0.3439023438246178,2614,232,0.0005696639467372796,0.004605873131766809,0.77183549868505,,PRUNED
29,0.8747084790937866,2025-09-09 15:47:49.547105,2025-09-09 15:48:01.664698,0 days 00:00:12.117593,,0.7507481384784299,0.026844679192332528,6,104,0.03206191526992696,2602,239,0.0005590495094741553,0.005788002988047895,0.7835057588940639,,PRUNED
